expression,reading,meaning_en,meaning_vi
咨询,zī xún,to consult,để tư vấn
紫,zǐ,purple,màu tím
字幕,zì mù,caption,đầu đề
自从,zì cóng,since (a time),kể từ (một thời gian)
自动,zì dòng,automatic,tự động
自豪,zì háo,(feel a sense of) pride,(cảm thấy) tự hào
自觉,zì jué,conscious,biết rõ
自私,zì sī,selfish,ích kỷ
自信,zì xìn,to have confidence in oneself,để có sự tự tin vào chính mình
自由,zì yóu,freedom,tự do
自愿,zì yuàn,voluntary,tự nguyện
综合,zōng hé,comprehensive,toàn diện
宗教,zōng jiào,religion,tôn giáo
总裁,zǒng cái,chairman,chủ tịch
总共,zǒng gòng,altogether,toàn bộ
总理,zǒng lǐ,premier,thủ tướng
总算,zǒng suàn,at long last,cuối cùng
总统,zǒng tǒng,president (of a country),tổng thống (của một nước)
总之,zǒng zhī,in a word,trong một từ
组合,zǔ hé,to assemble,để lắp ráp
阻止,zǔ zhǐ,to prevent,để ngăn chặn
祖国,zǔ guó,ancestral land CL:個|个[gè],đất tổ CL:個|个[gè]
祖先,zǔ xiān,ancestor,tổ tiên
醉,zuì,intoxicated,say
最初,zuì chū,first,Đầu tiên
罪犯,zuì fàn,criminal,tội phạm
尊敬,zūn jìng,respect,sự tôn trọng
遵守,zūn shǒu,to comply with,để tuân thủ
作品,zuò pǐn,work (of art),tác phẩm (nghệ thuật)
作为,zuò wéi,one's conduct,hành vi của một người
作文,zuò wén,to write an essay,để viết một bài luận
