哎哟,āi yō,hey,meaning_vi
狼狈,láng bèi,in a difficult situation,trong một tình huống khó khăn
朗读,lǎng dú,read aloud,đọc to
捞,lāo,to fish up,để câu cá
唠叨,láo dao,to prattle,nói nhảm
牢固,láo gù,firm,vững chãi
牢骚,láo sāo,discontent,bất mãn
乐趣,lè qù,delight,hân hoan
乐意,lè yì,to be willing to do sth,sẵn sàng làm việc gì đó
雷达,léi dá,radar (loanword),radar (từ mượn)
类似,lèi sì,similar,tương tự
冷淡,lěng dàn,cold,lạnh lẽo
冷酷,lěng kù,grim,nghiệt ngã
冷却,lěng què,to cool off,để nguội đi
愣,lèng,to look distracted,trông có vẻ mất tập trung
黎明,lí míng,dawn,bình minh
里程碑,lǐ chéng bēi,milestone,cột mốc quan trọng
礼节,lǐ jié,etiquette,nghi thức
理睬,lǐ cǎi,to heed,chú ý
理所当然,lǐ suǒ dāng rán,as it should be by rights (idiom); proper and to be expected as a matter of course,như nó phải bằng quyền (thành ngữ); phù hợp và được mong đợi như một điều tất nhiên
理直气壮,lǐ zhí qì zhuàng,in the right and self-confident (idiom); bold and confident with justice on one's side,vào lẽ phải và sự tự tin (thành ngữ); táo bạo và tự tin với công lý đứng về phía mình
理智,lǐ zhì,reason,lý do
立场,lì chǎng,position,chức vụ
立交桥,lì jiāo qiáo,overpass,cầu vượt
立体,lì tǐ,three-dimensional,ba chiều
立足,lì zú,to stand,đứng
历代,lì dài,successive generations,thế hệ kế tiếp
历来,lì lái,always,luôn luôn
利害,lì hài,pros and cons,ưu và nhược điểm
利率,lì lǜ,interest rates,lãi suất
力所能及,lì suǒ néng jí,as far as one's capabilities extend (idiom); to the best of one's ability,theo như khả năng của một người mở rộng (thành ngữ); theo khả năng tốt nhất của một người
力图,lì tú,to try hard to,cố gắng hết sức để
力争,lì zhēng,to work hard for,làm việc chăm chỉ cho
例外,lì wài,(make an) exception,(tạo ra một) ngoại lệ
连年,lián nián,successive years,năm liên tiếp
连锁,lián suǒ,to interlock,khóa liên động
连同,lián tóng,together with,cùng với
联欢,lián huān,have a get-together,có một cuộc gặp mặt
联络,lián luò,communication,giao tiếp
联盟,lián méng,alliance,liên minh
联想,lián xiǎng,to associate (cognitively),liên kết (về mặt nhận thức)
廉洁,lián jié,honest,trung thực
良心,liáng xīn,conscience,lương tâm
晾,liàng,to dry in the air,để khô trong không khí
谅解,liàng jiě,to understand,để hiểu
辽阔,liáo kuò,vast,rộng lớn
列举,liè jǔ,a list,một danh sách
淋,lín,to drain,để thoát nước
临床,lín chuáng,clinical,lâm sàng
吝啬,lìn sè,stingy,keo kiệt
零星,líng xīng,fragmentary,rời rạc
凌晨,líng chén,very early in the morning,rất sớm vào buổi sáng
灵感,líng gǎn,inspiration,cảm hứng
灵魂,líng hún,soul,linh hồn
灵敏,líng mǐn,smart,thông minh
伶俐,líng lì,clever,thông minh
领会,lǐng huì,to understand,để hiểu
领事馆,lǐng shì guǎn,consulate,lãnh sự quán
领土,lǐng tǔ,territory,lãnh thổ
领悟,lǐng wù,to understand,để hiểu
领先,lǐng xiān,to lead,dẫn đầu
领袖,lǐng xiù,leader,lãnh đạo
溜,liū,to slip away,trượt đi
留恋,liú liàn,reluctant to leave,miễn cưỡng rời đi
留念,liú niàn,to keep as a souvenir,để giữ làm kỷ niệm
留神,liú shén,to take care,chăm sóc
流浪,liú làng,to drift about,trôi dạt về
流露,liú lù,to express,để bày tỏ
流氓,liú máng,rogue,kẻ lừa đảo
流通,liú tōng,to circulate,lưu hành
聋哑,lóng yǎ,deaf and dumb,câm điếc
隆重,lóng zhòng,grand,vĩ đại
垄断,lǒng duàn,to enjoy market dominance,để tận hưởng sự thống trị thị trường
笼罩,lǒng zhào,to envelop,bao bọc
搂,lǒu,to hug,ôm
炉灶,lú zào,stove,cái lò
轮船,lún chuán,steamship,tàu hơi nước
轮廓,lún kuò,an outline,một phác thảo
轮胎,lún tāi,tire,lốp xe
论坛,lùn tán,forum (for discussion),diễn đàn (để thảo luận)
论证,lùn zhèng,to prove a point,để chứng minh một quan điểm
啰唆,luō suō,see 囉嗦|啰嗦[luō suo],xem 囉嗦|啰嗦[luō suo]
螺丝钉,luó sī dīng,screw,vít
落成,luò chéng,to complete a construction project,để hoàn thành một dự án xây dựng
落实,luò shí,practical,thực tế
络绎不绝,luò yì bù jué,continuously; in an endless stream (idiom),liên tục; trong một dòng chảy vô tận (thành ngữ)
屡次,lǚ cì,repeatedly,nhiều lần
履行,lǚ xíng,to fulfill (one's obligations),thực hiện (nghĩa vụ của một người)
掠夺,lvè duó,to plunder,cướp bóc
略微,lvè wēi,a little bit,một chút
麻痹,má bì,paralysis,sự tê liệt
麻木,má mù,numb,tê
麻醉,má zuì,anesthesia,gây tê
码头,mǎ tóu,dock,bến tàu
嘛,ma,modal particle indicating that sth is obvious,trợ từ phương thức chỉ ra rằng điều gì đó là hiển nhiên
埋伏,mái fú,to ambush,phục kích
埋没,mái mò,to engulf,nhấn chìm
埋葬,mái zàng,to bury,chôn cất
迈,mài,take a step,bước một bước
脉搏,mài bó,a pulse (both medical and figurative),một xung (cả y tế và nghĩa bóng)
埋怨,mán yuàn,to complain,phàn nàn
慢性,màn xìng,slow and patient,chậm rãi và kiên nhẫn
漫长,màn cháng,very long,rất dài
漫画,màn huà,caricature,bức tranh biếm họa
蔓延,màn yán,to extend,mở rộng
忙碌,máng lù,busy,bận
茫茫,máng máng,boundless,vô biên
茫然,máng rán,blankly,trống rỗng
盲目,máng mù,blind,mù
冒充,mào chōng,to feign,giả vờ
茂盛,mào shèng,lush,tươi tốt
枚,méi,classifier for coins,phân loại tiền xu
没辙,méi zhé,(idiom) unable to solve; no way to escape a problem,(thành ngữ) không giải được; không có cách nào để thoát khỏi một vấn đề
媒介,méi jiè,media,phương tiện truyền thông
媒体,méi tǐ,media,phương tiện truyền thông
美观,měi guān,pleasing to the eye,làm hài lòng mắt
美满,měi mǎn,happy,vui mừng
美妙,měi miào,beautiful,xinh đẹp
门诊,mén zhěn,outpatient service,dịch vụ ngoại trú
蒙,méng,to cover,che đậy
萌芽,méng yá,sprout,nảy mầm
猛烈,měng liè,fierce,mạnh mẽ
梦想,mèng xiǎng,(figuratively) to dream of,(nghĩa bóng) mơ về
眯,mī,to narrow one's eyes,thu hẹp mắt lại
弥补,mí bǔ,to complement,để bổ sung
弥漫,mí màn,variant of 彌漫|弥漫[mí màn],biến thể của 彌漫|弥漫[mí màn hình]
迷惑,mí huo,to puzzle,để giải đố
迷人,mí rén,fascinating,lôi cuốn
迷失,mí shī,lost,mất
迷信,mí xìn,superstition,sự mê tín
密度,mì dù,density,Tỉ trọng
密封,mì fēng,to seal up,để niêm phong
免得,miǎn de,so as not to,để không
免疫,miǎn yì,immunity (to disease),khả năng miễn dịch (với bệnh tật)
勉励,miǎn lì,to encourage,để khuyến khích
勉强,miǎn qiǎng,to do with difficulty,làm việc đó một cách khó khăn
面貌,miàn mào,appearance,vẻ bề ngoài
面子,miàn zi,outer surface,bề mặt bên ngoài
描绘,miáo huì,to describe,để mô tả
渺小,miǎo xiǎo,minute,phút
蔑视,miè shì,to loathe,ghê tởm
灭亡,miè wáng,to be destroyed,bị phá hủy
民间,mín jiān,among the people,giữa mọi người
民用,mín yòng,(for) civilian use,(cho) việc sử dụng dân sự
敏感,mǐn gǎn,sensitive,nhạy cảm
敏捷,mǐn jié,nimble,nhanh nhẹn
敏锐,mǐn ruì,keen,sắc sảo
明明,míng míng,obviously,rõ ràng
名次,míng cì,position in a ranking of names,vị trí trong bảng xếp hạng những cái tên
名额,míng é,quota,hạn ngạch
名副其实,míng fù qí shí,not just in name only,không chỉ có tên mà thôi
名誉,míng yù,fame,danh tiếng
命名,mìng míng,to give a name to,đặt tên cho
摸索,mō suo,to feel about,để cảm nhận về
膜,mó,membrane,màng
摩擦,mó cā,friction,ma sát
磨合,mó hé,to break in,đột nhập
模范,mó fàn,model,người mẫu
模式,mó shì,mode,cách thức
模型,mó xíng,model,người mẫu
魔鬼,mó guǐ,devil,ma quỷ
魔术,mó shù,magic,ảo thuật
抹杀,mǒ shā,to erase,xóa
莫名其妙,mò míng qí miào,unfathomable mystery (idiom); subtle and ineffable,bí ẩn khó dò (thành ngữ); tinh tế và không thể diễn tả được
默默,mò mò,in silence,trong im lặng
墨水儿,mò shuǐ r,erhua variant of 墨水,biến thể đàn nhị của 墨水
谋求,móu qiú,to seek,tìm kiếm
模样,mú yàng,look,Nhìn
母语,mǔ yǔ,native language,ngôn ngữ mẹ đẻ
目睹,mù dǔ,to witness,chứng kiến
目光,mù guāng,sight,thị giác
沐浴,mù yù,to take a bath,đi tắm
拿手,ná shǒu,expert in,chuyên gia về
纳闷儿,nà mèn r,puzzled,bối rối
耐用,nài yòng,durable,bền bỉ
难得,nán dé,seldom,hiếm khi
难堪,nán kān,hard to take,khó lấy
难免,nán miǎn,hard to avoid,khó tránh
难能可贵,nán néng kě guì,rare and precious,hiếm và quý
恼火,nǎo huǒ,to get angry,tức giận
内涵,nèi hán,meaning,nghĩa
内幕,nèi mù,inside story,câu chuyện bên trong
内在,nèi zài,intrinsic,nội tại
能量,néng liàng,energy,năng lượng
嗯,en,interjection indicating approval,sự xen vào biểu thị sự chấp thuận
拟定,nǐ dìng,to draw up,vẽ lên
年度,nián dù,year (e.g. school year,năm (ví dụ: năm học
捏,niē,to pinch (with one's fingers),véo (bằng ngón tay)
拧,níng,to pinch,véo
凝固,níng gù,to freeze,đóng băng
凝聚,níng jù,to condense,ngưng tụ
凝视,níng shì,to gaze at,nhìn vào
宁肯,nìng kěn,would rather...,thà...
宁愿,nìng yuàn,would rather,thà
纽扣儿,niǔ kòu ér,Buttons children,Nút trẻ em
扭转,niǔ zhuǎn,to reverse,đảo ngược
浓厚,nóng hòu,dense,dày đặc
农历,nóng lì,the traditional Chinese calendar,lịch truyền thống của trung quốc
奴隶,nú lì,slave,nô lệ
挪,nuó,to shift,thay đổi
虐待,nvè dài,to mistreat,ngược đãi
哦,ò,oh (interjection indicating that one has just learned sth),ồ (thán từ chỉ ra rằng người ta vừa học được điều gì đó)
殴打,ōu dǎ,to beat up,đánh đập
欧洲,Oū zhōu,Europe,Châu Âu
呕吐,ǒu tù,to vomit,nôn mửa
趴,pā,to lie on one's stomach,nằm sấp
排斥,pái chì,to reject,từ chối
排除,pái chú,to eliminate,để loại bỏ
排放,pái fàng,emission,khí thải
徘徊,pái huái,to dither,hoà sắc
派别,pài bié,denomination,giáo phái
派遣,pài qiǎn,to send (on a mission),gửi (đi làm nhiệm vụ)
攀登,pān dēng,to climb,leo lên
盘旋,pán xuán,to spiral,xoắn ốc
畔,pàn,bank,ngân hàng
判决,pàn jué,judgment (by a court of law),phán quyết (của tòa án)
庞大,páng dà,huge,to lớn
抛弃,pāo qì,to abandon,từ bỏ
泡沫,pào mò,foam,bọt
培训,péi xùn,to cultivate,trồng trọt
培育,péi yù,to train,đào tạo
配备,pèi bèi,to allocate,phân bổ
配偶,pèi ǒu,consort,phối ngẫu
配套,pèi tào,to form a complete set,để tạo thành một bộ hoàn chỉnh
盆地,pén dì,basin (low-lying geographical feature),lưu vực (đặc điểm địa lý vùng trũng)
烹饪,pēng rèn,cooking,nấu ăn
捧,pěng,to clasp,để siết chặt
劈,pī,to hack,để hack
批发,pī fā,wholesale,bán buôn
批判,pī pàn,to criticize,chỉ trích
疲惫,pí bèi,beaten,bị đánh đập
疲倦,pí juàn,to tire,mệt mỏi
皮革,pí gé,leather,da thú
屁股,pì gu,buttocks,mông
譬如,pì rú,for example,Ví dụ
偏差,piān chā,bias,sự thiên vị
偏见,piān jiàn,prejudice,định kiến
偏僻,piān pì,remote,xa
偏偏,piān piān,sth turns out just the opposite of what one would expect,điều gì đó hóa ra hoàn toàn trái ngược với những gì người ta mong đợi
片断,piàn duàn,section,phần
片刻,piàn kè,short period of time,khoảng thời gian ngắn
飘扬,piāo yáng,to wave,vẫy tay
漂浮,piāo fú,to float,nổi
拼搏,pīn bó,to struggle,đấu tranh
拼命,pīn mìng,to do one's utmost,làm hết sức mình
频繁,pín fán,frequently,thường xuyên
频率,pín lǜ,frequency,Tính thường xuyên
贫乏,pín fá,lack,thiếu
贫困,pín kùn,impoverished,nghèo khó
品尝,pǐn cháng,to taste a small amount,nếm thử một lượng nhỏ
品德,pǐn dé,moral character,tư cách đạo đức
品行,pǐn xíng,behavior,hành vi
品质,pǐn zhì,quality,chất lượng
平凡,píng fán,commonplace,chuyện tầm thường
平面,píng miàn,plane (flat surface),mặt phẳng (mặt phẳng)
平坦,píng tǎn,level,mức độ
平行,píng xíng,parallel,song song
平原,píng yuán,field,cánh đồng
评估,píng gū,to evaluate,để đánh giá
评论,píng lùn,to comment on,để bình luận về
屏障,píng zhàng,protective screen,màn hình bảo vệ
坡,pō,slope,độ dốc
泼,pō,to splash,giật gân
颇,pō,rather,hơn là
破例,pò lì,to make an exception,để tạo ra một ngoại lệ
迫不及待,pò bù jí dài,impatient (idiom); in a hurry,thiếu kiên nhẫn (thành ngữ); đang vội
迫害,pò hài,to persecute,để bức hại
魄力,pò lì,courage,lòng can đảm
扑,pū,to throw oneself at,ném mình vào
铺,pū,to spread,lan rộng
普及,pǔ jí,popular,phổ biến
朴实,pǔ shí,plain,đơn giản
瀑布,pù bù,waterfall,thác nước
期望,qī wàng,to have expectations,có những kỳ vọng
期限,qī xiàn,time limit,giới hạn thời gian
欺负,qī fu,to bully,bắt nạt
欺骗,qī piàn,to deceive,lừa dối
凄凉,qī liáng,desolate,hoang vắng
奇妙,qí miào,fantastic,tuyệt vời
旗袍,qí páo,Chinese-style dress,váy kiểu trung quốc
旗帜,qí zhì,ensign,cờ hiệu
齐全,qí quán,complete,hoàn thành
齐心协力,qí xīn xié lì,to work with a common purpose (idiom); to make concerted efforts,làm việc với mục đích chung (thành ngữ); để thực hiện những nỗ lực phối hợp
歧视,qí shì,to discriminate against,phân biệt đối xử
起草,qǐ cǎo,draft (a bill),dự thảo (dự luật)
起初,qǐ chū,originally,ban đầu
起伏,qǐ fú,to move up and down,để di chuyển lên và xuống
起哄,qǐ hòng,to heckle,làm phiền
起码,qǐ mǎ,at the minimum,ở mức tối thiểu
起义,qǐ yì,uprising,cuộc nổi dậy
起源,qǐ yuán,origin,nguồn gốc
启程,qǐ chéng,to set out on a journey,bắt đầu một cuộc hành trình
启示,qǐ shì,enlightenment,sự giác ngộ
启事,qǐ shì,announcement (written,thông báo (viết
乞丐,qǐ gài,beggar,người ăn xin
岂有此理,qǐ yǒu cǐ lǐ,how can this be so? (idiom); preposterous,làm sao có thể như vậy được? (thành ngữ); lố bịch
器材,qì cái,equipment,thiết bị
器官,qì guān,organ (part of body tissue),cơ quan (một phần của mô cơ thể)
气概,qì gài,lofty quality,chất lượng cao cả
气功,qì gōng,qigong,khí công
气魄,qì pò,spirit,tinh thần
气色,qì sè,complexion,nước da
气势,qì shì,imposing manner,cách áp đặt
气味,qì wèi,odor,mùi
气象,qì xiàng,meteorological feature,đặc điểm khí tượng
气压,qì yā,atmospheric pressure,áp suất khí quyển
迄今为止,qì jīn wéi zhǐ,so far,cho đến nay
掐,qiā,to pick (flowers),hái (hoa)
恰当,qià dàng,appropriate,phù hợp
恰到好处,qià dào hǎo chù,it's just perfect,nó thật hoàn hảo
恰巧,qià qiǎo,fortunately,may mắn thay
洽谈,qià tán,to discuss,để thảo luận
牵扯,qiān chě,to involve,liên quan đến
牵制,qiān zhì,to control,để kiểm soát
千方百计,qiān fāng bǎi jì,lit. thousand ways,thắp sáng. ngàn cách
签订,qiān dìng,to agree to and sign (a treaty etc),"đồng ý và ký kết (một hiệp ước, v.v.)"
签署,qiān shǔ,to sign (an agreement),ký (một thỏa thuận)
迁就,qiān jiù,to yield,mang lại
迁徙,qiān xǐ,to migrate,di cư
谦逊,qiān xùn,humble,khiêm tốn
前景,qián jǐng,foreground,tiền cảnh
前提,qián tí,premise,tiền đề
潜力,qián lì,potential,tiềm năng
潜水,qián shuǐ,to dive,lặn
潜移默化,qián yí mò huà,imperceptible influence,ảnh hưởng không thể nhận thấy
谴责,qiǎn zé,to denounce,tố cáo
强制,qiáng zhì,to enforce,để thực thi
抢劫,qiǎng jié,to rob,cướp
抢救,qiǎng jiù,rescue,giải thoát
强迫,qiǎng pò,to compel,buộc
桥梁,qiáo liáng,bridge,cầu
翘,qiào,to stick up,để dính lên
锲而不舍,qiè ér bù shě,to chip away at a task and not abandon it (idiom); to chisel away at sth,hoàn thành một nhiệm vụ và không từ bỏ nó (thành ngữ); đục khoét cái gì đó
切实,qiè shí,feasible,khả thi
亲热,qīn rè,affectionate,trìu mến
亲身,qīn shēn,personal,riêng tư
侵犯,qīn fàn,to infringe on,xâm phạm
钦佩,qīn pèi,to admire,ngưỡng mộ
勤俭,qín jiǎn,hardworking and frugal,chăm chỉ và tiết kiệm
勤恳,qín kěn,diligent and attentive,siêng năng và chu đáo
氢,qīng,hydrogen (chemistry),hydro (hóa học)
轻而易举,qīng ér yì jǔ,easy,dễ
清澈,qīng chè,clear,thông thoáng
清晨,qīng chén,early morning,sáng sớm
清除,qīng chú,to eliminate,để loại bỏ
清洁,qīng jié,clean,lau dọn
清理,qīng lǐ,to clear up,để làm sáng tỏ
清晰,qīng xī,clear,thông thoáng
清醒,qīng xǐng,clear-headed,sáng suốt
清真,qīng zhēn,Islamic,Hồi giáo
倾听,qīng tīng,to listen attentively,chăm chú lắng nghe
倾向,qīng xiàng,trend,xu hướng
倾斜,qīng xié,to incline,nghiêng
晴朗,qíng lǎng,sunny and cloudless,nắng và không có mây
情报,qíng bào,(spy) intelligence,(gián điệp) tình báo
情节,qíng jié,plot,kịch bản
情理,qíng lǐ,reason,lý do
情形,qíng xing,circumstances,trường hợp
请柬,qǐng jiǎn,invitation card,thiệp mời
请教,qǐng jiào,to ask for guidance,để yêu cầu hướng dẫn
请示,qǐng shì,to ask for instructions,để yêu cầu hướng dẫn
请帖,qǐng tiě,invitation card,thiệp mời
丘陵,qiū líng,hills,Đồi
区分,qū fēn,to differentiate,để phân biệt
区域,qū yù,area,khu vực
屈服,qū fú,to surrender,đầu hàng
曲折,qū zhé,complicated,phức tap
驱逐,qū zhú,to expel,trục xuất
渠道,qú dào,irrigation ditch,mương thủy lợi
取缔,qǔ dì,to ban,cấm
曲子,qǔ zi,poem for singing,bài thơ để hát
趣味,qù wèi,fun,vui vẻ
圈套,quān tào,trap,cạm bẫy
全局,quán jú,overall situation,tình hình chung
全力以赴,quán lì yǐ fù,to do at all costs,phải làm bằng mọi giá
权衡,quán héng,to weigh,cân
权威,quán wēi,authority,thẩm quyền
权益,quán yì,rights and benefits,quyền và lợi ích
拳头,quán tou,fist,nắm tay
犬,quǎn,dog,chó
缺口,quē kǒu,nick,biệt hiệu
缺席,quē xí,absence,sự vắng mặt
缺陷,quē xiàn,defect,khuyết điểm
瘸,qué,lame,khập khiễng
确保,què bǎo,to ensure,để đảm bảo
确立,què lì,to establish,để thành lập
确切,què qiè,definite,chắc chắn
确信,què xìn,to be convinced,bị thuyết phục
群众,qún zhòng,mass,khối
染,rǎn,to dye,nhuộm
让步,ràng bù,to concede,thừa nhận
饶恕,ráo shù,to forgive,tha thứ
扰乱,rǎo luàn,to disturb,làm phiền
惹祸,rě huò,stirring up trouble,khuấy động rắc rối
热泪盈眶,rè lèi yíng kuàng,eyes brimming with tears of excitement (idiom),đôi mắt tràn đầy nước mắt của sự phấn khích (thành ngữ)
热门,rè mén,popular,phổ biến
人道,rén dào,human sympathy,sự đồng cảm của con người
人格,rén gé,personality,nhân cách
人工,rén gōng,artificial,nhân tạo
人家,rén jia,other people,những người khác
人间,rén jiān,the human world,thế giới con người
人士,rén shì,person,người
人为,rén wéi,artificial,nhân tạo
人性,rén xìng,human nature,bản chất con người
人质,rén zhì,hostage,con tin
仁慈,rén cí,benevolent,nhân từ
忍耐,rěn nài,to show restraint,thể hiện sự kiềm chế
忍受,rěn shòu,to bear,chịu đựng
认定,rèn dìng,to maintain (that sth is true),để duy trì (điều đó là đúng)
认可,rèn kě,to approve,phê duyệt
任命,rèn mìng,to appoint and nominate,bổ nhiệm và đề cử
任性,rèn xìng,willful,cố ý
任意,rèn yì,arbitrary,tùy ý
任重道远,rèn zhòng dào yuǎn,a heavy load and a long road,một gánh nặng và một con đường dài
仍旧,réng jiù,still (remaining),vẫn (còn lại)
日新月异,rì xīn yuè yì,daily renewal,đổi mới hàng ngày
日益,rì yì,day by day,ngày qua ngày
融洽,róng qià,harmonious,hài hòa
溶解,róng jiě,to dissolve,hòa tan
容貌,róng mào,one's appearance,sự xuất hiện của một người
容纳,róng nà,to hold,giữ
容器,róng qì,receptacle,ổ chứa
容忍,róng rěn,to put up with,chịu đựng
揉,róu,to knead,nhào nặn
柔和,róu hé,gentle,dịu dàng
弱点,ruò diǎn,weak point,điểm yếu
若干,ruò gān,a certain number or amount,một số lượng hoặc số tiền nhất định
撒谎,sā huǎng,to tell lies,nói dối
腮,sāi,cheek,má
三角,sān jiǎo,triangle,tam giác
散文,sǎn wén,prose,văn xuôi
散布,sàn bù,to disseminate,phổ biến
散发,sàn fā,to distribute,phân phối
丧失,sàng shī,to lose,thua
嫂子,sǎo zi,(informal) older brother's wife,(thân mật) vợ của anh trai
色彩,sè cǎi,tint,màu sắc
刹车,shā chē,to brake (when driving),phanh (khi lái xe)
啥,shá,dialectal equivalent of 什麼|什么[shén me],phương ngữ tương đương với 什麼|什么[shén me]
筛选,shāi xuǎn,to filter,để lọc
山脉,shān mài,mountain range,dãy núi
闪烁,shǎn shuò,flickering,nhấp nháy
擅长,shàn cháng,to be good at,để giỏi
擅自,shàn zì,without permission,không có sự cho phép
商标,shāng biāo,trademark,nhãn hiệu
伤脑筋,shāng nǎo jīn,knotty,có nhiều nút thắt
上级,shàng jí,higher authorities,cơ quan cấp trên
上进心,shàng jìn xīn,motivation,động lực
上任,shàng rèn,to take office,nhậm chức
上瘾,shàng yǐn,to get into a habit,để có được một thói quen
上游,shàng yóu,upper reaches (of a river),thượng nguồn (của một con sông)
捎,shāo,to bring sth to sb,mang cái gì đó đến cho ai đó
梢,shāo,tip of branch,đầu cành
哨,shào,a whistle,một cái còi
奢侈,shē chǐ,luxurious,sang trọng
设立,shè lì,to set up,để thiết lập
设想,shè xiǎng,to imagine,tưởng tượng
设置,shè zhì,to set up,để thiết lập
社区,shè qū,community,cộng đồng
涉及,shè jí,to involve,liên quan đến
摄取,shè qǔ,absorb (nutrition),hấp thụ (dinh dưỡng)
摄氏度,shè shì dù,degrees centigrade,độ C
深奥,shēn ào,profound,sâu
深沉,shēn chén,deep,sâu
深情厚谊,shēn qíng hòu yì,deep friendship,tình bạn sâu sắc
申报,shēn bào,to report (to the authorities),báo cáo (với chính quyền)
绅士,shēn shì,gentleman,quý ông
呻吟,shēn yín,to moan,rên rỉ
神奇,shén qí,magical,huyền diệu
神气,shén qì,expression,sự biểu lộ
神情,shén qíng,look,Nhìn
神色,shén sè,expression,sự biểu lộ
神圣,shén shèng,divine,thần thánh
神态,shén tài,appearance,vẻ bề ngoài
神仙,shén xiān,Daoist immortal,Đạo giáo bất tử
审查,shěn chá,to examine,để kiểm tra
审理,shěn lǐ,to hear (a case),nghe (một trường hợp)
审美,shěn měi,esthetics,thẩm mỹ
审判,shěn pàn,a trial,một thử nghiệm
渗透,shèn tòu,to permeate,thấm vào
慎重,shèn zhòng,cautious,thận trọng
生存,shēng cún,to exist,tồn tại
生机,shēng jī,opportunity to live,cơ hội sống
生理,shēng lǐ,physiology,sinh lý học
生疏,shēng shū,unfamiliar,không quen
生态,shēng tài,way of life,lối sống
生物,shēng wù,organism,sinh vật
生效,shēng xiào,to take effect,có hiệu lực
生锈,shēng xiù,to rust,rỉ sét
生育,shēng yù,to bear,chịu đựng
牲畜,shēng chù,domesticated animals,vật nuôi
声明,shēng míng,statement,tuyên bố
声势,shēng shì,fame and power,danh tiếng và quyền lực
声誉,shēng yù,reputation,danh tiếng
省会,shěng huì,provincial capital,thủ phủ của tỉnh
盛产,shèng chǎn,superabundant,dư thừa
盛开,shèng kāi,blooming,nở hoa
盛情,shèng qíng,great kindness,lòng tốt tuyệt vời
盛行,shèng xíng,to be in vogue,được thịnh hành
胜负,shèng fù,victory or defeat,chiến thắng hay thất bại
失误,shī wù,lapse,trôi đi
失踪,shī zōng,to be missing,bị mất tích
师范,shī fàn,teacher-training,đào tạo giáo viên
施加,shī jiā,to exert (effort or pressure),nỗ lực (nỗ lực hoặc áp lực)
施展,shī zhǎn,to use fully,sử dụng đầy đủ
尸体,shī tǐ,dead body,xác chết
拾,shí,to pick up,để nhặt
十足,shí zú,ample,phong phú
识别,shí bié,to distinguish,để phân biệt
时差,shí chā,time difference,chênh lệch múi giờ
时常,shí cháng,often,thường
时而,shí ér,occasionally,thỉnh thoảng
时光,shí guāng,time,thời gian
时机,shí jī,fortunate timing,thời điểm may mắn
时事,shí shì,current trends,xu hướng hiện nay
时装,shí zhuāng,the latest fashion in clothes,thời trang mới nhất trong quần áo
实惠,shí huì,tangible benefit,lợi ích hữu hình
实力,shí lì,strength,sức mạnh
实施,shí shī,to implement,để thực hiện
实事求是,shí shì qiú shì,to seek truth from facts (idiom),để tìm kiếm sự thật từ sự kiện (thành ngữ)
实质,shí zhì,substance,chất
石油,shí yóu,oil,dầu
使命,shǐ mìng,mission (diplomatic or other),sứ mệnh (ngoại giao hoặc khác)
是非,shì fēi,right and wrong,đúng và sai
试图,shì tú,to attempt,cố gắng
试验,shì yàn,experiment,cuộc thí nghiệm
势必,shì bì,to be bound to,bị ràng buộc với
势力,shì li,power,quyền lực
世代,shì dài,generation,thế hệ
世界观,shì jiè guān,worldview,thế giới quan
示范,shì fàn,to demonstrate,để chứng minh
示威,shì wēi,to demonstrate (as a protest),để chứng minh (như một sự phản đối)
示意,shì yì,to hint,gợi ý
释放,shì fàng,to release,phát hành
事故,shì gù,accident,tai nạn
事迹,shì jì,deed,chứng thư
事件,shì jiàn,event,sự kiện
事态,shì tài,situation,tình huống
事务,shì wù,(political,(thuộc về chính trị
事项,shì xiàng,matter,vấn đề
事业,shì yè,undertaking,cam kết
适宜,shì yí,suitable,thích hợp
视力,shì lì,vision,tầm nhìn
视线,shì xiàn,line of sight,đường ngắm
视野,shì yě,field of view,trường nhìn
逝世,shì shì,to pass away,qua đời
收藏,shōu cáng,to hoard,tích trữ
收缩,shōu suō,to pull back,kéo lại
收益,shōu yì,earnings,thu nhập
收音机,shōu yīn jī,radio,radio
手法,shǒu fǎ,technique,kỹ thuật
手势,shǒu shì,gesture,cử chỉ
手艺,shǒu yì,craftmanship,sự khéo léo
首要,shǒu yào,the most important,điều quan trọng nhất
守护,shǒu hù,to guard,để bảo vệ
受罪,shòu zuì,to endure,chịu đựng
授予,shòu yǔ,to award,trao giải
书法,shū fǎ,calligraphy,thư pháp
书籍,shū jí,books,sách
书记,shū ji,secretary,thư ký
书面,shū miàn,in writing,bằng văn bản
舒畅,shū chàng,happy,vui mừng
疏忽,shū hu,to neglect,bỏ bê
数,shǔ,to count,đếm
竖,shù,to erect,dựng lên
束,shù,to bind,ràng buộc
束缚,shù fù,to bind,ràng buộc
树立,shù lì,to set up,để thiết lập
数额,shù é,amount,số lượng
数目,shù mù,amount,số lượng
耍,shuǎ,to play with,để chơi với
衰老,shuāi lǎo,to age,già đi
衰退,shuāi tuì,to decline,từ chối
率领,shuài lǐng,to lead,dẫn đầu
涮,shuàn,to rinse,rửa sạch
双胞胎,shuāng bāo tāi,twin,sinh đôi
爽快,shuǎng kuai,refreshed,được làm mới
水利,shuǐ lì,water conservancy,bảo tồn nước
水龙头,shuǐ lóng tóu,faucet,vòi nước
水泥,shuǐ ní,cement,xi măng
司法,sī fǎ,judicial,tư pháp
