"expression","reading","meaning","tags","guid","meaning_vi"
"～だけ","～だけ","only ~, just ~, as ~","JLPT JLPT_1 JLPT_5 JLPT_N5","Lcbr*3r3b5","chỉ ~, chỉ ~, như ~"
"沢山","たくさん","many, much","JLPT JLPT_5 JLPT_N5","v7m[:9zL*Y","nhiều, nhiều"
"タクシー","タクシー","taxi","JLPT JLPT_5 JLPT_N5","k8!n/<-@<9","Taxi"
"出す","だす","to take (something) out; to hand in (something)","Genki Genki_Ln.16 JLPT JLPT_5 JLPT_N5","bt0(EU(<V_","lấy (cái gì) ra; giao nộp (cái gì đó)"
"～たち","～たち","plural suffix","JLPT JLPT_5 JLPT_N5","Opbd!87m@p","hậu tố số nhiều"
"立つ","たつ","to stand up","Genki Genki_Ln.6 JLPT JLPT_3 JLPT_5 JLPT_N5","z+IsiLqO4K","đứng lên"
"たて","たて","length, height","JLPT JLPT_3 JLPT_5 JLPT_N5","L8wVt#MfRS","chiều dài, chiều cao"
"建物","たてもの","building","Intermediate_Japanese Intermediate_Japanese_Ln.5 JLPT JLPT_5 JLPT_N5","mty2M&KETp","xây dựng"
"楽しい","たのしい","enjoyable, fun","Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5","eD~FeZpJXC","thú vị, vui vẻ"
"頼む","たのむ","to request, to ask (a favor)","Genki Genki_Ln.18 Intermediate_Japanese Intermediate_Japanese_Ln.3 JLPT JLPT_5 JLPT_N5","zjk+2%xAp%","yêu cầu, yêu cầu (một ân huệ)"
"たばこ","たばこ","tobacco, cigarettes","JLPT JLPT_5 JLPT_N5","y<?W4xcfCN","thuốc lá, thuốc lá"
"多分","たぶん","perhaps, probably, maybe","Genki Genki_Ln.12 Intermediate_Japanese Intermediate_Japanese_Ln.2 JLPT JLPT_3 JLPT_5 JLPT_N5","pNDK+)ARo","có lẽ, có lẽ, có lẽ"
"食べ物","たべもの","food","Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5","ODKLC3jdI>","đồ ăn"
"食べる","たべる","to eat","JLPT JLPT_5 JLPT_N5","c.+pIV(7xY","ăn"
"卵","たまご","egg","Intermediate_Japanese Intermediate_Japanese_Ln.6 JLPT JLPT_5 JLPT_N5","c|(S)f_).K","trứng"
"誰","だれ","who","Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5","gDqm6J+#/O","Ai"
"誰か","だれか","someone","JLPT JLPT_3 JLPT_5 JLPT_N5","K{JPl*mB/&","người nào đó"
"誕生日","たんじょうび","birthday","Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5","HV8#h@HniT","sinh nhật"
"段々","だんだん","gradually, by degrees","JLPT JLPT_5 JLPT_N5","O8dRR}CL>","dần dần, theo mức độ"
"小さい","ちいさい","small, little","Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5","LNu9:vy!G1","nhỏ, nhỏ"
"小さな","ちいさな","small, little","JLPT JLPT_5 JLPT_N5","lc*~Cd~D@4","nhỏ, nhỏ"
"近い","ちかい","near, close by, short","Genki Genki_Ln.13 JLPT JLPT_5 JLPT_N5","ttC.1]n,0|","gần, gần, ngắn"
"違う","ちがう","to be different; to differ; wrong","Genki Genki_Ln.23 Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5","N2Hj9)qK/l","trở nên khác biệt; khác biệt; sai"
"近く","ちかく","nearby; in the neighborhood","Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5","y)Y*_^+)&<","gần đó; trong khu phố"
"地下鉄","ちかてつ","underground train, subway","Genki Genki_Ln.10 JLPT JLPT_5 JLPT_N5","MEsyrZ*cPc","tàu điện ngầm, tàu điện ngầm"
"地図","ちず","a map","Genki Genki_Ln.15 Intermediate_Japanese Intermediate_Japanese_Ln.12 JLPT JLPT_5 JLPT_N5","dhY*~Tx!fs","một bản đồ"
"父","ちち","(my) father","Genki Genki_Ln.7 JLPT JLPT_5 JLPT_N5","QKI#T(oT`t","(của tôi) bố"
"茶色","ちゃいろ","brown","JLPT JLPT_5 JLPT_N5","h<Se0W>cwB","màu nâu"
"茶碗","ちゃわん","rice bowl","JLPT JLPT_5 JLPT_N5","p6c8>jnMm!","bát cơm"
"～中","～ちゅう","during, while ~ing","JLPT JLPT_5 JLPT_N5","J]E)zcwU%w","trong khi, trong khi ~ing"
"丁度","ちょうど","just, right, exactly","JLPT JLPT_5 JLPT_N5","K@fxH}$AC8","đúng, đúng, chính xác"
"ちょっと","ちょっと","a little, somewhat; just a little, somewhat","Genki Genki_Ln.3 JLPT JLPT_2 JLPT_5 JLPT_N5","j)OcO!#[%u","một chút, phần nào; chỉ một chút, một chút"
"一日","ついたち","one day; first day of the month","JLPT JLPT_5 JLPT_N5","qK&D4iveg","một ngày; ngày đầu tiên của tháng"
"使う","つかう","to use","JLPT JLPT_5 JLPT_N5","B(Ve/L8[z5","sử dụng"
"疲れる","つかれる","to get (become) tired; to become fatigued","Genki Genki_Ln.11 Intermediate_Japanese Intermediate_Japanese_Ln.10 JLPT JLPT_5 JLPT_N5","Oil7l6nt$n","trở nên mệt mỏi; trở nên mệt mỏi"
"次","つぎ","next","Genki Genki_Ln.6 JLPT JLPT_5 JLPT_N5","IPls}w5_e-","Kế tiếp"
"着く","つく","to arrive at, to reach","JLPT JLPT_3 JLPT_5 JLPT_N5","hc-pfPX>PQ","đến, đạt được"
"机","つくえ","desk","Genki Genki_Ln.4 Intermediate_Japanese Intermediate_Japanese_Ln.10 JLPT JLPT_5 JLPT_N5","G!9kEn9Y>c","bàn làm việc"
"作る","つくる","to make, to create","Genki Genki_Ln.8 JLPT JLPT_5 JLPT_N5","dlanfH_M#M","làm, tạo ra"
"つける","つける","to turn on (e.g., a light); to take","JLPT JLPT_3 JLPT_4 JLPT_5 JLPT_N5","o}z*=/A8o~","để bật (ví dụ: đèn); lấy"
"勤める","つとめる","to work (for)","JLPT JLPT_5 JLPT_N5","xKU$$gsQPF","làm việc (cho)"
"つまらない","つまらない","boring, dull; insignificant","Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5","HL~a;+T`kY","nhàm chán, buồn tẻ; không đáng kể"
"冷たい","つめたい","cold (things, people)","Genki Genki_Ln.10 JLPT JLPT_5 JLPT_N5","v8vDEW[6Rh","lạnh (vật, người)"
"強い","つよい","strong, powerful","Genki Genki_Ln.17 Intermediate_Japanese Intermediate_Japanese_Ln.13 JLPT JLPT_5 JLPT_N5","d[wde~o@q(","mạnh mẽ, mạnh mẽ"
"手","て","hand","JLPT JLPT_5 JLPT_N5","CAHcCP96BY","tay"
"テープ","テープ","tape","Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5","H|,pBh(;BD","băng"
"テープレコーダー","テープレコーダー","tape recorder","JLPT JLPT_5 JLPT_N5","izd^3[1~Pe","máy ghi âm"
"テーブル","テーブル","table","JLPT JLPT_5 JLPT_N5","n-.M5OZr5!","bàn"
"出かける","でかける","to go out; to depart","Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5","Fx}b2N2gun","đi ra ngoài; khởi hành"
"手紙","てがみ","letter","Genki Genki_Ln.4 JLPT JLPT_5 JLPT_N5","M#PC#!OTka","thư"
"できる","できる","to be able to (to accomplish)","JLPT JLPT_3 JLPT_4 JLPT_5 JLPT_N5","vB~NGv+*>H","có thể (hoàn thành)"
"出口","でぐち","an exit","Intermediate_Japanese Intermediate_Japanese_Ln.7 JLPT JLPT_5 JLPT_N5","sv__368x5>","một lối thoát"
"テスト","テスト","test","Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5","Lhy<!{J6SG","Bài kiểm tra"
"では","では","then, well, so","JLPT JLPT_3 JLPT_5 JLPT_N5","NY{|SsdlKz","vậy thì, vậy thì"
"デパート","デパート","(abbr.) department store","Genki Genki_Ln.4 JLPT JLPT_5 JLPT_N5","rd.b%pP~B0","(viết tắt) cửa hàng bách hóa"
"でも","でも","but, however","JLPT JLPT_3 JLPT_5 JLPT_N5","izQ~3T7Pp}","nhưng, tuy nhiên"
"出る","でる","to appear, to leave","JLPT JLPT_5 JLPT_N5","A23ctPX1n^","xuất hiện, rời đi"
"テレビ","テレビ","television, TV","Genki Genki_Ln.3 JLPT JLPT_5 JLPT_N5","pQXZQB+G|d","truyền hình, truyền hình"
"天気","てんき","weather","Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5","vm1l+4c[9","thời tiết"
"電気","でんき","electricity, (electric) light","Genki Genki_Ln.6 JLPT JLPT_5 JLPT_N5","HsW5jIb;SC","điện, (điện) ánh sáng"
"電車","でんしゃ","electric train","Genki Genki_Ln.6 JLPT JLPT_5 JLPT_N5","e?+NxLTOv","tàu điện"
"電話","でんわ","a telephone","Genki Genki_Ln.1 JLPT JLPT_5 JLPT_N5","Q,geq&8^pJ","một chiếc điện thoại"
"戸","と","door (Japanese style)","JLPT JLPT_5 JLPT_N5","o.K?EMap~;","cửa (kiểu Nhật)"
"～度","～ど","counter for occurrences; ~ degree; ~ point","JLPT JLPT_1 JLPT_5 JLPT_N5","K9|0UgYaJ_","truy cập các lần xuất hiện; ~ bằng cấp; ~ điểm"
"ドア","ドア","door (Western style)","JLPT JLPT_5 JLPT_N5","l[rk}4@PVD","cửa (kiểu phương Tây)"
"トイレ","トイレ","bathroom; toilet","Intermediate_Japanese Intermediate_Japanese_Ln.10 JLPT JLPT_5 JLPT_N5","hv_ThfFsjj","phòng tắm; nhà vệ sinh"
"どう","どう","how, in what way","JLPT JLPT_5 JLPT_N5","FZt/a?Mnu^","như thế nào, bằng cách nào"
"どうして","どうして","why, for what reason","Genki Genki_Ln.4 JLPT JLPT_5 JLPT_N5","s<(2V@f6ff","tại sao, vì lý do gì"
"どうぞ","どうぞ","please, kindly, by all means","JLPT JLPT_5 JLPT_N5","CXiSJodxs@","làm ơn, vui lòng, bằng mọi cách"
"動物","どうぶつ","animal","Intermediate_Japanese Intermediate_Japanese_Ln.10 JLPT JLPT_5 JLPT_N5","Q~mPY;2upw","động vật"
"どうも","どうも","Thank you; somehow; no matter how hard one may try","Genki Genki_Ln.2 Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5","Maz]_B`w,4","Cảm ơn; bằng cách nào đó; cho dù người ta có thể cố gắng thế nào"
"十","(〜を) とお","ten (~)","Genki Genki_Ln.9 JLPT JLPT_3 JLPT_5 JLPT_N5","BjWdBTc)9!","mười (~)"
"遠い","とおい","far (away), distant","Genki Genki_Ln.21 JLPT JLPT_5 JLPT_N5","Jl9yYXnyJ<","xa (xa), xa xôi"
"十日","とおか","ten days; tenth day of the month","Genki Genki_Ln.13 JLPT JLPT_5 JLPT_N5","g[CNT&GA2[","mười ngày; ngày thứ mười của tháng"
"～時","～とき","at the time of ~","JLPT JLPT_3 JLPT_5 JLPT_N5","bGLp[lZC.;","vào thời điểm ~"
"時々","ときどき","sometimes","Genki Genki_Ln.3 JLPT JLPT_5 JLPT_N5","s+W64X?THZ","Thỉnh thoảng"
"時計","とけい","a watch; a clock","Genki Genki_Ln.2 Intermediate_Japanese Intermediate_Japanese_Ln.2 JLPT JLPT_5 JLPT_N5","u/fL<ne:Cb","một chiếc đồng hồ; một chiếc đồng hồ"
"どこ","どこ","where, what place","Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5","h_Fa6?Ps@9","ở đâu, nơi nào"
"所","ところ","place","Genki Genki_Ln.8 Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5","J`^6YmuA-0","địa điểm"
"年","とし","year, age","JLPT JLPT_3 JLPT_5 JLPT_N5","N=hcG9wG3;","năm, tuổi"
"図書館","としょかん","library","Genki Genki_Ln.2 Intermediate_Japanese Intermediate_Japanese_Ln.5 JLPT JLPT_5 JLPT_N5","mp0X0~7Y`^","thư viện"
"どちら","どちら","which (one) (way); where (polite)","Genki Genki_Ln.10 Genki_Ln.19 JLPT JLPT_5 JLPT_N5","pW(ud@AhIx","cái nào (một) (cách); ở đâu (lịch sự)"
"どっち","どっち","which one, which way","Genki Genki_Ln.10 JLPT JLPT_5 JLPT_N5","PxI,t`JQ.N","cái nào, đường nào"
"とても","とても","very (much), greatly, exceedingly","Genki Genki_Ln.5 Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_3 JLPT_5 JLPT_N5","t]2-1h#)V/","rất (nhiều), vô cùng, cực kỳ"
"どなた","どなた","who","JLPT JLPT_5 JLPT_N5","Ll)TbcW$yb","Ai"
"隣","となり","next to, next door to","Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5","GigT2yQ[2E","bên cạnh, bên cạnh"
"どの","どの","which","JLPT JLPT_5 JLPT_N5","H+g1ci<Mvc","cái mà"
"飛ぶ","とぶ","to fly, to hop","JLPT JLPT_5 JLPT_N5","wLF5gUV](>","bay, nhảy"
"止まる","とまる","to come to a halt","JLPT JLPT_5 JLPT_N5","Q+OrrzleWd","dừng lại"
"友達","ともだち","friend","Genki Genki_Ln.1 Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5","E)w$/p&I#O","người bạn"
"土曜日","どようび","Saturday","Genki Genki_Ln.3 JLPT JLPT_3 JLPT_5 JLPT_N5","Q%+.*M.E9m","Thứ bảy"
"鳥","とり","chicken (lit., bird)","Intermediate_Japanese Intermediate_Japanese_Ln.6 JLPT JLPT_5 JLPT_N5","lc>;F##&%m","gà (lit., chim)"
"鶏肉","とりにく","chicken meat","JLPT JLPT_5 JLPT_N5","dL<c9&FvJF","thịt gà"
"取る","とる","to take (a class); to get (a grade)","Genki Genki_Ln.11 Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5","bLpD3ABv2g","tham gia (một lớp học); để có được (một điểm)"
"撮る","とる","to take (a photo), to make (a film)","JLPT JLPT_5 JLPT_N5","w7O/i=vkEI","chụp (ảnh), làm (phim)"
"どれ","どれ","which one","Genki Genki_Ln.2 JLPT JLPT_3 JLPT_5 JLPT_N5","icGG-;4x}M","cái nào"
"どんな","どんな","what, what kind of","JLPT JLPT_3 JLPT_5 JLPT_N5","PZ~[>!hd8m","cái gì, cái gì"
"ない","ない","there isn't, doesn't have","JLPT JLPT_5 JLPT_N5","I08@<2+DPk","không có, không có"
"ナイフ","ナイフ","knife","JLPT JLPT_5 JLPT_N5","domhg)5M&Q","dao"
"中","なか","inside, middle, among","JLPT JLPT_3 JLPT_5 JLPT_N5","rVjcK=lE15","bên trong, giữa, giữa"
"長い","ながい","long, lengthy","Genki Genki_Ln.7 Intermediate_Japanese Intermediate_Japanese_Ln.4 JLPT JLPT_2 JLPT_5 JLPT_N5","EHO`14{d-(","dài, dài"
"鳴く","なく","to make sound (animal)","JLPT JLPT_5 JLPT_N5","ivpv*G,Zm%","tạo ra âm thanh (động vật)"
"無くす","なくす","to lose something","JLPT JLPT_3 JLPT_5 JLPT_N5","dteDI+R~`W","mất cái gì đó"
"なぜ","なぜ","why (same as どうして)","Genki Genki_Ln.19 JLPT JLPT_5 JLPT_N5","Cvs*YiG5BD","tại sao (giống như どうして)"
"夏","なつ","summer","Genki Genki_Ln.8 Intermediate_Japanese Intermediate_Japanese_Ln.4 JLPT JLPT_5 JLPT_N5","P,[b8Eh|6R","mùa hè"
"夏休み","なつやすみ","summer vacation","JLPT JLPT_5 JLPT_N5","D=cA)b0@~(","kỳ nghỉ hè"
"～など","～など","et cetera","JLPT JLPT_3 JLPT_5 JLPT_N5","e(]O3py,;2","vân vân"
"七つ","ななつ","seven things","Genki Genki_Ln.9 JLPT JLPT_3 JLPT_5 JLPT_N5","G25u:w`9Xu","bảy điều"
"何","なん; なに","what","Genki Genki_Ln.1 JLPT JLPT_3 JLPT_5 JLPT_N5","g<hW@mElnM","Gì"
"七日","なのか","seven days; seventh day (of the month)","Genki Genki_Ln.13 JLPT JLPT_5 JLPT_N5","I|+G2AT>J]","bảy ngày; ngày thứ bảy (trong tháng)"
"名前","なまえ","name","Genki Genki_Ln.1 JLPT JLPT_5 JLPT_N5","e6o_CEx8)b","tên"
"習う","ならう","to learn","Genki Genki_Ln.11 JLPT JLPT_5 JLPT_N5","iV+xor)WZT","học"
"並ぶ","ならぶ","to line up, to stand in a line (v.i.)","Intermediate_Japanese Intermediate_Japanese_Ln.7 JLPT JLPT_5 JLPT_N5","nIHPO#>_}+","xếp hàng, xếp hàng (v.i.)"
"並べる","ならべる","to put (things) side by side; to line up","Intermediate_Japanese Intermediate_Japanese_Ln.15 JLPT JLPT_5 JLPT_N5","n!B94UfoT6","đặt (đồ vật) cạnh nhau; xếp hàng"
"なる","なる","to become","Genki Genki_Ln.10 JLPT JLPT_3 JLPT_5 JLPT_N5","ukKTUxR2lk","trở thành"
"何～","なん～","what sort of ~","JLPT JLPT_5 JLPT_N5","C!@pB0L*^>","kiểu gì vậy ~"
"二","に","two","JLPT JLPT_5 JLPT_N5","uzD!:&B)8|","hai"
"にぎやか","にぎやか","bustling, busy","JLPT JLPT_5 JLPT_N5","cIb<bg#^)L","nhộn nhịp, bận rộn"
"肉","にく","meat","Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5","Go(gh2eIxK","thịt"
"西","にし","west","JLPT JLPT_5 JLPT_N5","D!YA^58RBg","hướng tây"
"～日","～にち","~ day of the month, for ~ days","JLPT JLPT_5 JLPT_N5","DbJ@Azg05L","~ ngày trong tháng, trong ~ ngày"
"日曜日","にちようび","Sunday","Genki Genki_Ln.3 JLPT JLPT_3 JLPT_5 JLPT_N5","XSi31p{-G","Chủ nhật"
"荷物","にもつ","luggage; baggage","Genki Genki_Ln.6 Intermediate_Japanese Intermediate_Japanese_Ln.6 JLPT JLPT_5 JLPT_N5","MH72iI!<]q","hành lý; hành lý"
"ニュース","ニュース","news","Genki Genki_Ln.17 JLPT JLPT_5 JLPT_N5","iHtE.]1*,&","tin tức"
"庭","にわ","garden","Genki Genki_Ln.15 JLPT JLPT_5 JLPT_N5","f&>q3YTU?H","vườn"
"～人","～にん","counter for people","JLPT JLPT_5 JLPT_N5","FNnJ8yNPin","quầy cho người"
"脱ぐ","ぬぐ","to take off (clothes)","Genki Genki_Ln.17 JLPT JLPT_5 JLPT_N5","cM_g)oAQIs","cởi (quần áo)"
"温い","ぬるい","lukewarm","JLPT JLPT_3 JLPT_5 JLPT_N5","gfQAF/k(q,","ấm áp"
"ネクタイ","ネクタイ","tie, necktie","Genki Genki_Ln.14 JLPT JLPT_5 JLPT_N5","AQO{m&veen","cà vạt, cà vạt"
"猫","ねこ","cat","Genki Genki_Ln.4 JLPT JLPT_5 JLPT_N5","x^.ijbc4Mz","con mèo"
"寝る","ねる","to sleep; to go to sleep; to go to bed","Genki Genki_Ln.3 Intermediate_Japanese Intermediate_Japanese_Ln.2 JLPT JLPT_5 JLPT_N5","PAI>}YTMT!","ngủ; đi ngủ; đi ngủ"
"～年","～ねん","~ years","JLPT JLPT_5 JLPT_N5","gYAXz}z6O,","~ năm"
"ノート","ノート","notebook","Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5","Go~p$PSFcm","sổ tay"
"登る","のぼる","to climb","JLPT JLPT_3 JLPT_5 JLPT_N5","unM=ha?S3d","leo lên"
"飲み物","のみもの","drink, beverage","Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5","k?X,84{EZ8","đồ uống, đồ uống"
"飲む","のむ","to drink","JLPT JLPT_5 JLPT_N5","C;cf;f4#r6","uống"
"乗る","のる","to get on, to ride in, to board","JLPT JLPT_3 JLPT_5 JLPT_N5","J~ykS_Bo0m","lên, đi vào, lên xe"
"歯","は","tooth","Genki Genki_Ln.12 Intermediate_Japanese Intermediate_Japanese_Ln.12 JLPT JLPT_5 JLPT_N5","J1;2F+tdr`","răng"
"パーティー","パーティー","a party","Genki Genki_Ln.8 JLPT JLPT_5 JLPT_N5","O}o_r|!syk","một bữa tiệc"
"はい","はい","yes","Genki Genki_Ln.1 JLPT JLPT_3 JLPT_5 JLPT_N5","Q.;:Q&Nmh}","Đúng"
"～杯","～はい","counter for cupfuls","JLPT JLPT_5 JLPT_N5","JTOz#Az0jW","quầy tính cốc"
"灰皿","はいざら","ashtray","JLPT JLPT_5 JLPT_N5","mAdBNp<Jp$","cái gạt tàn"
"入る","はいる","to enter, to contain, to hold","JLPT JLPT_5 JLPT_N5","zZFQIc).TB","đi vào, chứa, giữ"
"葉書","はがき","postcard","Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5","jer83m7P=.","bưu thiếp"
"はく","はく","to put on (items below your waist)","Genki Genki_Ln.7 JLPT JLPT_3 JLPT_5 JLPT_N5","oRjJ`o{id)","để mặc (đồ dưới thắt lưng của bạn)"
"箱","はこ","box","JLPT JLPT_5 JLPT_N5","D@BX&%Fydt","hộp"
"橋","はし","bridge","JLPT JLPT_3 JLPT_5 JLPT_N5","gMcz>SvPjQ","cầu"
"箸","はし","chopsticks","Genki Genki_Ln.8 JLPT JLPT_3 JLPT_5 JLPT_N5","vlWz[4OAnE","đũa"
"始まる","はじまる","(something) begins","Genki Genki_Ln.9 JLPT JLPT_5 JLPT_N5","g7#i$_:K%6","(cái gì đó) bắt đầu"
"初め; 始め","はじめ","beginning, start","JLPT JLPT_3 JLPT_5 JLPT_N5","Po{k$4o=i}","bắt đầu, bắt đầu"
"初めて","はじめて","for the first time","Genki Genki_Ln.12 Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5","FM~Al0*F*3","lần đầu tiên"
"走る","はしる","to run","Genki Genki_Ln.22 Intermediate_Japanese Intermediate_Japanese_Ln.10 JLPT JLPT_5 JLPT_N5","B)($ycG+,c","chạy"
"バス","バス","bus; bath; bass","Genki Genki_Ln.5 Intermediate_Japanese Intermediate_Japanese_Ln.10 JLPT JLPT_1 JLPT_5 JLPT_N5","nF2zK|?mh~","xe buýt; bồn tắm; âm trầm"
"バター","バター","butter","JLPT JLPT_5 JLPT_N5","bep_D~c3Ed","bơ"
"二十歳","はたち","20 years old","JLPT JLPT_3 JLPT_5 JLPT_N5","s,}HT(8Tzb","20 tuổi"
"働く","はたらく","to work","Genki Genki_Ln.11 Intermediate_Japanese Intermediate_Japanese_Ln.9 JLPT JLPT_5 JLPT_N5","fCkP4x.Nco","đi làm"
"八","はち","eight","JLPT JLPT_5 JLPT_N5","maEI.lHT3>","tám"
"二十日","はつか","twenty days, twentieth (day of the month)","JLPT JLPT_5 JLPT_N5","mmn=3%}>}J","hai mươi ngày, hai mươi (ngày trong tháng)"
"花","はな","flower","JLPT JLPT_5 JLPT_N5","js_smr~4Ak","hoa"
"鼻","はな","nose","JLPT JLPT_5 JLPT_N5","Ft8Z7qnLG,","mũi"
"話","はなし","talk (chat), story","Genki Genki_Ln.19 JLPT JLPT_5 JLPT_N5","A(<B}*ZSa_","trò chuyện (chat), câu chuyện"
"話す","はなす","to speak","JLPT JLPT_3 JLPT_5 JLPT_N5","d]>`2&`x#1","nói chuyện"
"母","はは","(my) mother","Genki Genki_Ln.14 JLPT JLPT_5 JLPT_N5","I?S_Xs1PT;","(của tôi) mẹ"
"早い","はやい","early","Genki Genki_Ln.3 JLPT JLPT_5 JLPT_N5","J6yYVxGFN*","sớm"
"速い","はやい","fast, quick","Genki Genki_Ln.7 Intermediate_Japanese Intermediate_Japanese_Ln.4 JLPT JLPT_5 JLPT_N5","pfU@DZ;h3^","nhanh, nhanh"
"春","はる","spring","Genki Genki_Ln.10 Intermediate_Japanese Intermediate_Japanese_Ln.4 JLPT JLPT_3 JLPT_5 JLPT_N5","mlEwn=b[H<","mùa xuân"
"貼る","はる","to post; to paste; to attach","Genki Genki_Ln.21 Intermediate_Japanese Intermediate_Japanese_Ln.3 JLPT JLPT_3 JLPT_5 JLPT_N5","zI5j%aDV0.","đăng bài; để dán; để đính kèm"
"晴れ","はれ","clear (sunny) weather","Genki Genki_Ln.12 JLPT JLPT_5 JLPT_N5","nBD2D7_?kw","thời tiết quang đãng (nắng)"
"晴れる","はれる","to be sunny","Genki Genki_Ln.19 JLPT JLPT_5 JLPT_N5","ATM=j&::X;","trời nắng"
"半","はん","half (e.g., にじはん | half-past two)","Genki Genki_Ln.1 JLPT JLPT_3 JLPT_5 JLPT_N5","s%lRHov]`n","một nửa (ví dụ, にじはん | hai giờ rưỡi)"
"晩","ばん","evening","JLPT JLPT_3 JLPT_5 JLPT_N5","hO?dVEN`5B","buổi tối"
"～番","～ばん","~st; ~th best","JLPT JLPT_5 JLPT_N5","b/wgPDiVBg","~st; ~tốt nhất"
"パン","パン","bread","Genki Genki_Ln.4 JLPT JLPT_5 JLPT_N5","FI2Z[9I*9Q","bánh mỳ"
"ハンカチ","ハンカチ","handkerchief","JLPT JLPT_5 JLPT_N5","yU4LCXkUnv","khăn tay"
"番号","ばんごう","number, series of digits","Genki Genki_Ln.1 JLPT JLPT_5 JLPT_N5","c^xE))av$-","số, dãy chữ số"
"晩御飯","ばんごはん","dinner, evening meal","Genki Genki_Ln.3 JLPT JLPT_5 JLPT_N5","HihAr>C::*","bữa tối, bữa tối"
"半分","はんぶん","half","JLPT JLPT_5 JLPT_N5","DN!/&cg9bL","một nửa"
"東","ひがし","east","JLPT JLPT_5 JLPT_N5","pI3YEa2,3t","phía đông"
"～匹","～ひき","counter for small animals","JLPT JLPT_5 JLPT_N5","ivmKu+!yZ}","quầy cho động vật nhỏ"
"引く","ひく","to pull, to draw; subtract","JLPT JLPT_2 JLPT_3 JLPT_5 JLPT_N5","tVVM)ZI7wM","kéo, vẽ; trừ đi"
"弾く","ひく","to play (a string instrument or piano)","Genki Genki_Ln.9 JLPT JLPT_3 JLPT_5 JLPT_N5","HK}b0#P-HS","chơi (một nhạc cụ có dây hoặc piano)"
"低い","ひくい","short, low","JLPT JLPT_5 JLPT_N5","BBr{:lP!;x","ngắn, thấp"
"飛行機","ひこうき","airplane","Genki Genki_Ln.5 Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5","OUQ4o:]Va=","máy bay"
"左","ひだり","left hand side","JLPT JLPT_5 JLPT_N5","h_@t6d`1:*","bên tay trái"
"人","ひと","man, person","Genki Genki_Ln.4 JLPT JLPT_5 JLPT_N5","ya&#4:D}>{","người đàn ông, người"
"一つ","ひとつ","one thing","Genki Genki_Ln.9 JLPT JLPT_5 JLPT_N5","lMwiFE;gTW","một điều"
"一月","ひとつき","one month","JLPT JLPT_5 JLPT_N5","JU.k{Nz*{h","một tháng"
"一人","ひとり","one person","Genki Genki_Ln.7 JLPT JLPT_3 JLPT_5 JLPT_N5","rOUMQ8LZ5<","một người"
"暇","ひま","free time, leisure","JLPT JLPT_5 JLPT_N5","urDxNZnrq<","thời gian rảnh rỗi, giải trí"
"百","ひゃく","hundred","JLPT JLPT_5 JLPT_N5","J;(UasY_=O","trăm"
"病院","びょういん","hospital","Genki Genki_Ln.4 JLPT JLPT_5 JLPT_N5","<+#t;D=L-","bệnh viện"
"病気","びょうき","illness; sickness","Genki Genki_Ln.9 Intermediate_Japanese Intermediate_Japanese_Ln.2 JLPT JLPT_5 JLPT_N5","Ibs3I0!xB|","sự ốm yếu; bệnh tật"
"平仮名","ひらがな","hiragana","JLPT JLPT_5 JLPT_N5","k}y1F@5e8u","chữ hiragana"
"昼","ひる","noon, daytime","JLPT JLPT_5 JLPT_N5","i8$:v@D8x1","buổi trưa, ban ngày"
"昼御飯","ひるごはん","lunch, midday meal","Genki Genki_Ln.3 JLPT JLPT_5 JLPT_N5","JGK7M1P.PA","bữa trưa, bữa trưa"
"広い","ひろい","spacious; wide; broad","Genki Genki_Ln.15 Intermediate_Japanese Intermediate_Japanese_Ln.15 JLPT JLPT_5 JLPT_N5","nThxsh#3~a","rộng rãi; rộng; rộng rãi"
