"expression","reading","meaning","tags","guid","meaning_vi"
"愛想","あいそう","sociability","JLPT JLPT_1","D5/lX+C:0I","tính hòa đồng"
"間柄","あいだがら","relationship","JLPT JLPT_1","r){:>bdZ&g","mối quan hệ"
"合間","あいま","interval","JLPT JLPT_1","JUK537Y{:,","khoảng thời gian"
"敢えて","あえて","dare (to do), venture (to do), challenge (to do)","JLPT JLPT_1","s1!E#AVJt2","dám (làm), mạo hiểm (làm), thách thức (làm)"
"仰ぐ","あおぐ","to look up (to), to respect; to ask for","JLPT JLPT_1","jM1|yl:^{3","ngước lên (đến), kính trọng; để yêu cầu"
"垢","あか","dirt, filth","JLPT JLPT_1","DBMz)Db=eM","bụi bẩn, rác rưởi"
"赤字","あかじ","deficit, go in the red","JLPT JLPT_1","HI03WP|@HB","thâm hụt, chuyển sang màu đỏ"
"明かす","あかす","to reveal; to stay up","JLPT JLPT_1","KwYk}cvf;4","tiết lộ; ở lại"
"赤らむ","あからむ","to become red, to blush","JLPT JLPT_1","j<sn*Q2&fX","trở nên đỏ mặt, đỏ mặt"
"上がり","あがり","ascent; income; completion, stop","JLPT JLPT_1","P4)VsPElC3","đi lên; thu nhập; hoàn thành, dừng lại"
"諦め","あきらめ","resignation, reconciliation, consolation","JLPT JLPT_1","t[6Mba+ksr","từ chức, hòa giải, an ủi"
"アクセル","アクセル","(abbr.) accelerator","JLPT JLPT_1","Ne4X+cGeo>","(viết tắt) máy gia tốc"
"あくどい","あくどい","gaudy vicious","JLPT JLPT_1","lc&@RDrWR_","lòe loẹt luẩn quẩn"
"顎","あご","chin","JLPT JLPT_1","Ptm5MS8ifU","cái cằm"
"憧れ","あこがれ","yearning, longing, aspiration","Intermediate_Japanese Intermediate_Japanese_Ln.8 JLPT JLPT_1","xBeDF#=-sz","khao khát, khao khát, khao khát"
"麻","あさ","hemp","JLPT JLPT_1","w(rcEk/VmK","cây gai dầu"
"あざ","あざ","birthmark, bruise","JLPT JLPT_1","d*;1c9:{uT","vết bớt, vết bầm tím"
"浅ましい","あさましい","shameful, mean, despicable","JLPT JLPT_1","s)pIL-ZA22","đáng xấu hổ, hèn hạ, đáng khinh"
"欺く","あざむく","to deceive","JLPT JLPT_1","A$ma^<[.oV","lừa dối"
"鮮やか","あざやか","vivid, clear","JLPT JLPT_1","NLW7^$tsZW","sống động, rõ ràng"
"嘲笑う","あざわらう","to sneer at, to ridicule","JLPT JLPT_1","JUQ*e7*7@1","chế nhạo, chế giễu"
"悪しからず","あしからず","don't take me wrong, but..., I'm sorry","JLPT JLPT_1","mzY7to>XD=","đừng hiểu lầm tôi, nhưng..., tôi xin lỗi"
"味わい","あじわい","flavor, relish","JLPT JLPT_1","AnF0/M>eGJ","hương vị, thưởng thức"
"焦る","あせる","to be in a hurry, to be impatient","JLPT JLPT_1","CQ6a[yufGz","vội vàng, thiếu kiên nhẫn"
"あせる (こえが～)","あせる (こえが～)","to fade, to discolor","JLPT JLPT_1","z&GHas=YL$","làm phai màu, làm phai màu"
"値","あたい","value, price, worth","JLPT JLPT_1","npzK5/Lv`K","giá trị, giá cả, giá trị"
"値する","あたいする","to be worth, to deserve","JLPT JLPT_1","ft<yLz[qaG","đáng giá, xứng đáng"
"悪化","あっか","deterioration, worsen","JLPT JLPT_1","sbr2W2n7MW","sự xuống cấp, trở nên tồi tệ hơn"
"扱い","あつかい","treatment, service","JLPT JLPT_1","mENSd|EXrx","điều trị, phục vụ"
"呆気ない","あっけない","not enough, too quick (short, long, etc.)","JLPT JLPT_1","Ia5OpTaxp^","không đủ, quá nhanh (ngắn, dài, v.v.)"
"あっさり","あっさり","easily, readily, quickly","JLPT JLPT_1","oXkv96df2[","một cách dễ dàng, dễ dàng, nhanh chóng"
"斡旋","あっせん","kind offices, mediation","JLPT JLPT_1","e&lS=AStXV","văn phòng tử tế, hòa giải"
"圧倒","あっとう","overwhelm, overpower","JLPT JLPT_1","K|Yu^{#OdF","áp đảo, áp đảo"
"圧迫","あっぱく","pressure, coercion, oppression","JLPT JLPT_1","lV=]6c^zXy","áp lực, áp bức, áp bức"
"あつらえる","あつらえる","to give an order, to place an order","JLPT JLPT_1","w5:fR-]SC?","ra lệnh, ra lệnh"
"圧力","あつりょく","stress, pressure","JLPT JLPT_1","MjVQW+>`YR","căng thẳng, áp lực"
"当て","あて","expectations; depend","JLPT JLPT_1","jo;`0^*cS-","kỳ vọng; phụ thuộc"
"～宛","～あて","for…(e.g., In a letter)","JLPT JLPT_1","FnD29QA$}R","cho…(ví dụ: Trong một lá thư)"
"当て字","あてじ","phonetic-equivalent character, substitute character","JLPT JLPT_1","Q]8,F~AaiU","ký tự tương đương về ngữ âm, ký tự thay thế"
"跡継ぎ","あとつぎ","heir, successor","JLPT JLPT_1","FOSj&QueO&","người thừa kế, người kế vị"
"後回し","あとまわし","putting off, postponing","JLPT JLPT_1","gtJh53r?xb","trì hoãn, hoãn lại"
"油絵","あぶらえ","oil painting","JLPT JLPT_1","D+4-`qnb~N","tranh sơn dầu"
"アプローチ","アプローチ","approach (in golf)","JLPT JLPT_1","jEr0e9w(yl","cách tiếp cận (trong sân gôn)"
"あべこべ","あべこべ","contrary, opposite, inverse","JLPT JLPT_1","H,+X<T.gD6","trái ngược, ngược lại, nghịch đảo"
"甘える","あまえる","to behave like a spoiled child, to fawn on","JLPT JLPT_1","Ive+A5(inn","cư xử như một đứa trẻ hư hỏng, xu nịnh"
"雨具","あまぐ","rain gear","JLPT JLPT_1","I?IUPpQj*?","áo mưa"
"甘口","あまくち","sweet flavor","JLPT JLPT_1","RiEI$=-[gq","hương vị ngọt ngào"
"アマチュア","アマチュア","amateur","JLPT JLPT_1","cX1.fT!T=M","nghiệp dư"
"網","あみ","net","JLPT JLPT_1","H|d6ZL#<h!","mạng lưới"
"操る","あやつる","to manipulate, to operate, to pull strings","JLPT JLPT_1","NxyDR}@Pt9","thao tác, vận hành, kéo dây"
"危ぶむ","あやぶむ","to fear, to have misgivings, to be doubtful","JLPT_1 JLPT","NLhG0QOC$/","sợ hãi, nghi ngờ, nghi ngờ"
"あやふや","あやふや","uncertain, vague, ambiguous","JLPT_1 JLPT","LTY%:.1iV#","không chắc chắn, mơ hồ, mập mờ"
"過ち","あやまち","fault, error, indiscretion","JLPT_1 JLPT","tiN`@Or{&y","lỗi, lỗi, sự bừa bãi"
"誤る","あやまる","to make a mistake","JLPT_1 JLPT","y69Q^~B7be","phạm sai lầm"
"歩み","あゆみ","step, progress, history","JLPT_1 JLPT","d|SHU+C9ln","bước, tiến độ, lịch sử"
"歩む","あゆむ","to walk","JLPT_1 JLPT","wd7~%O7i%s","đi bộ"
"予め","あらかじめ","in advance, previously","JLPT_1 JLPT","M^Q%nck}}~","trước, trước đó"
"荒らす","あらす","to damage; to invade","JLPT_1 JLPT","F`n@R=:)nH","làm hư hỏng; xâm chiếm"
"争い","あらそい","dispute, quarrel, conflict","JLPT_1 JLPT","iM26j%{^}<","tranh chấp, cãi vã, xung đột"
"改まる","あらたまる","to be renewed; to be formal","JLPT_1 JLPT","POJ?~MwZC;","được đổi mới; trở nên chính thức"
"荒っぽい","あらっぽい","rough, rude","JLPT_1 JLPT","b<,B2X1W>,","thô lỗ, thô lỗ"
"アラブ","アラブ","Arab","JLPT_1 JLPT","w?fz6N5_8f","Ả Rập"
"霰","あられ","hail (e.g., falling ice balls)","JLPT_1 JLPT","l3>xH[yiS~","mưa đá (ví dụ, những quả bóng băng rơi xuống)"
"有り様","ありさま","state, condition","JLPT_1 JLPT","riAt}Dj+*6","trạng thái, điều kiện"
"ありのまま","ありのまま","the truth, as it is, frankly","JLPT_1 JLPT","u#p2]kp|]n","sự thật, như nó vốn có, thẳng thắn"
"ありふれる","ありふれる","common, ordinary, routine","JLPT_1 JLPT","L>m1Qj9_w`","thông thường, thông thường, thông thường"
"アルカリ","アルカリ","alkali","JLPT_1 JLPT","bjn}>(kN_4","chất kiềm"
"アルミ","アルミ","aluminum (Al, aluminum)","JLPT_1 JLPT","hd2y8v&/eK","nhôm (Al, nhôm)"
"アワー","アワー","hour","JLPT_1 JLPT","mk~JH>ZLLt","giờ"
"合わす","あわす","to join together, to face, to unite","JLPT_1 JLPT","NbeP;-&Q9x","tham gia cùng nhau, đối mặt, đoàn kết"
"～合せ","～あわせ","in all","JLPT_1 JLPT","txB~izZs$4","trong tất cả"
"アンコール","アンコール","encore","JLPT_1 JLPT","Nor`ur!?#f","encore"
"暗殺","あんさつ","assassination","JLPT_1 JLPT","k9nuX~0z?!","vụ ám sát"
"暗算","あんざん","mental arithmetic","JLPT_1 JLPT","iVkFrF?o$Q","tính nhẩm"
"暗示","あんじ","hint, suggestion","JLPT_1 JLPT","v]TQH!b:3E","gợi ý, gợi ý"
"案じる","あんじる","to be anxious, to ponder","JLPT_1 JLPT","A+tw-W2up/","lo lắng, suy ngẫm"
"安静","あんせい","rest","JLPT_1 JLPT","m~/57eSA#(","nghỉ ngơi"
"案の定","あんのじょう","sure enough, as usual","JLPT_1 JLPT","hA}d;?>d]S","chắc chắn rồi, như thường lệ"
"いい加減","いいかげん","random, irresponsible","JLPT_1 JLPT","m&1q/@m2Fo","ngẫu nhiên, vô trách nhiệm"
"言い訳","いいわけ","excuse, explanation","JLPT_1 JLPT","bHn3PYYDDh","xin lỗi, giải thích"
"イェス","イェス","yes; Jesus","JLPT_1 JLPT","JNh+4Yr8ef","Đúng; Chúa Giêsu"
"家出","いえで","running away from home","JLPT_1 JLPT","Q=S6%hckV-","chạy trốn khỏi nhà"
"生かす","いかす","to keep something alive; to make use of","JLPT_1 JLPT","I!~Ls+W17l","để giữ cho một cái gì đó còn sống; để sử dụng"
"いかに","いかに","how, in what way","JLPT_1 JLPT","wc[[YL_8xy","như thế nào, bằng cách nào"
"いかにも","いかにも","truly (same as 実に (じつに))","JLPT_1 JLPT Intermediate_Japanese_Ln.13 Intermediate_Japanese","pGTXJh*xKy","thật sự (giống như 実に (じつに))"
"異議","いぎ","objection, dissent, protest","JLPT_1 JLPT","Ipl}wWGO>v","phản đối, bất đồng quan điểm, phản đối"
"生き甲斐","いきがい","something one lives for, very important","JLPT_1 JLPT","q|opo=i1Z%","điều gì đó mà người ta sống vì nó, rất quan trọng"
"行き違い","いきちがい","misunderstanding, disagreement","JLPT_1 JLPT","Kn3O$k3Ndh","sự hiểu lầm, sự bất đồng"
"意気込む","いきごむ","to be enthusiastic about","JLPT_1 JLPT","uCP,dS?ITJ","nhiệt tình về"
"育成","いくせい","rearing, training, cultivation","JLPT_1 JLPT","xgDyhh?MvF","nuôi dưỡng, huấn luyện, trồng trọt"
"幾多","いくた","many, numerous","JLPT_1 JLPT","sVgAdcK5_K","nhiều, vô số"
"(花を〜) 生ける, 活ける","(はなを～) いける","to arrange (flowers)","JLPT JLPT_1 MediaMissing","cEGS[d,K$s","sắp xếp (hoa)"
"異見","いけん","different opinion, objection","JLPT_1 JLPT","C`nnyFMEP*","ý kiến ​​khác nhau, sự phản đối"
"意向","いこう","intention, idea, inclination","JLPT_1 JLPT","c<RmCn8fq1","ý định, ý tưởng, khuynh hướng"
"移行","いこう","switching over to","JLPT_1 JLPT","zCUU7WXKx4","chuyển sang"
"いざ","いざ","now, come (now), crucial moment","JLPT_1 JLPT","i:/h1W-xdl","bây giờ, đến (bây giờ), thời điểm quan trọng"
"移住","いじゅう","migration, immigration","JLPT_1 JLPT","yfmy@>bgJz","di cư, nhập cư"
"衣装","いしょう","clothing, costume, outfit","JLPT_1 JLPT","JM:)/^6vfs","quần áo, trang phục, trang phục"
"いじる","いじる","to touch, to tamper with","JLPT_1 JLPT","9Nx^_^#j8","chạm vào, làm xáo trộn"
"異性","いせい","the opposite sex","JLPT_1 JLPT","c(LysD`~z]","người khác giới"
"遺跡","いせき","historic ruins","JLPT_1 JLPT","FHxuAULxsj","di tích lịch sử"
"依存","いぞん","dependence, dependent, reliance","JLPT_1 JLPT","vHQ}.~FHmp","sự phụ thuộc, sự phụ thuộc, sự phụ thuộc"
"委託","いたく","consign (goods (for sale) to a firm), entrust","JLPT_1 JLPT","JRy,(Dx:,n","ký gửi (hàng hóa (để bán) cho một công ty), ủy thác"
"いたって","いたって","very much, exceedingly, extremely","JLPT_1 JLPT","%<{<.)4xj","rất nhiều, cực kỳ, vô cùng"
"出世","しゅっせ","promotion, successful career, eminence","JLPT_1 JLPT","E,W%,6&bwX","thăng tiến, sự nghiệp thành công, nổi tiếng"
"出題","しゅつだい","proposing a question","JLPT_1 JLPT","s9z]c<[6wR","đề xuất một câu hỏi"
"出動","しゅつどう","mobilization, action","JLPT_1 JLPT","DVV5Q3:VIK","huy động, hành động"
"出費","しゅっぴ","expenses, disbursements","JLPT_1 JLPT","t(JNS{XhuZ","chi phí, khoản chi"
"出品","しゅっぴん","exhibit, display","JLPT_1 JLPT","w}1f=TEQZ|","triển lãm, trưng bày"
"主導","しゅどう","main leadership","JLPT_1 JLPT","d-6;%xC,V(","lãnh đạo chính"
"主任","しゅにん","person in charge, responsible official","JLPT_1 JLPT Intermediate_Japanese_Ln.8 Intermediate_Japanese","P`pi2j!/Zn","người phụ trách, người chịu trách nhiệm"
"首脳","しゅのう","head, leader","JLPT_1 JLPT","mH>udydI<)","người đứng đầu, lãnh đạo"
"守備","しゅび","defense","JLPT_1 JLPT","QyYK8_+Gx6","phòng thủ"
"手法","しゅほう","technique","JLPT_1 JLPT","fWl){e*%x`","kỹ thuật"
"樹木","じゅもく","trees and shrubs, arbor","JLPT_1 JLPT","A6EcuVTEn~","cây và cây bụi, cây thông"
"樹立","じゅりつ","establish, create","JLPT_1 JLPT","<gHQ~x_IM","thiết lập, tạo ra"
"準急","じゅんきゅう","local express (train, slower than an express)","JLPT_1 JLPT","s!T{c]d?zv","tốc hành địa phương (tàu, chậm hơn tốc hành)"
"準じる","じゅんじる","to follow, to conform, to apply to","JLPT_1 JLPT","j=V@~uS;G4","tuân theo, tuân theo, áp dụng vào"
"～署","～しょ","department","JLPT_1 JLPT","A<!E3T_0vF","phòng"
"～症","～しょう","disease","JLPT_1 JLPT","y^!rJ~5v8t","bệnh"
"～証","～しょう","proof, certificate","JLPT_1 JLPT","w[XPaJS[}z","bằng chứng, giấy chứng nhận"
"～嬢","～じょう","young woman","JLPT_1 JLPT","P&R@B~a4:4","người phụ nữ trẻ"
"上位","じょうい","superior, higher order","JLPT_1 JLPT","s<}P@-YNu`","cấp trên, cấp cao hơn"
"上演","じょうえん","art performance","JLPT_1 JLPT","Ih+PnzSX5U","biểu diễn nghệ thuật"
"城下","じょうか","land near the castle","JLPT_1 JLPT","FP&uiV(R^g","đất gần lâu đài"
"消去","しょうきょ","elimination, erasing","JLPT_1 JLPT","KIr]^O720X","sự loại bỏ, sự xóa bỏ"
"上空","じょうくう","sky, high-altitude sky, upper air","JLPT_1 JLPT","AT)AL!}Jds","bầu trời, bầu trời cao, không khí trên cao"
"衝撃","しょうげき","shock, crash, impact, ballistic","JLPT_1 JLPT","rK5G)+e65!","sốc, va chạm, va chạm, đạn đạo"
"証言","しょうげん","evidence, testimony","JLPT_1 JLPT","s_3h<=-PI[","bằng chứng, lời khai"
"証拠","しょうこ","evidence, proof","JLPT_1 JLPT","H}OPDaDiwx","bằng chứng, bằng chứng"
"照合","しょうごう","check, verification","JLPT_1 JLPT","hlgHN62g|{","kiểm tra, xác minh"
"詳細","しょうさい","detail, particulars","JLPT_1 JLPT","K:oLa1D.!N","chi tiết, chi tiết"
"上昇","じょうしょう","rising, ascending, climbing","JLPT_1 JLPT","sWkm1|AEBC","tăng lên, tăng dần, leo lên"
"昇進","しょうしん","promotion","JLPT_1 JLPT","d~xF3H=[az","khuyến mãi"
"称する","しょうする","to take the name of, to call oneself","JLPT_1 JLPT","tSb%>:%%!V","lấy tên của, gọi chính mình"
"情勢","じょうせい","state of things, condition, situation","JLPT_1 JLPT","MJ1D.[x{)c","trạng thái của sự vật, tình trạng, tình huống"
"消息","しょうそく","news, letter, circumstances","JLPT_1 JLPT","u6>otPY%%b","tin tức, lá thư, hoàn cảnh"
"承諾","しょうだく","consent, agreement","JLPT_1 JLPT","qBKI4V%6RZ","sự đồng ý, thỏa thuận"
"情緒","じょうちょ","emotion, feeling","JLPT_1 JLPT","k3To8MWJIl","cảm xúc, cảm giác"
"情緒","じょうしょ","emotion, feeling","JLPT_1 JLPT","tX-.yH%tsu","cảm xúc, cảm giác"
"象徴","しょうちょう","symbol","JLPT_1 JLPT","Nr_Pr2R$>-","biểu tượng"
"小児科","しょうにか","pediatrics","JLPT_1 JLPT","BV(PyO5`Xp","nhi khoa"
"使用人","しようにん","employee, servant","JLPT_1 JLPT","LygcFyOci?","nhân viên, người hầu"
"情熱","じょうねつ","passion, enthusiasm, zeal","JLPT_1 JLPT","I{iqV8B>VE","đam mê, nhiệt huyết, nhiệt huyết"
"譲歩","じょうほ","concession, conciliation, compromise","JLPT_1 JLPT","qTRRmo8`cg","nhượng bộ, hòa giải, thỏa hiệp"
"条約","じょうやく","treaty, pact","JLPT_1 JLPT Intermediate_Japanese_Ln.8 Intermediate_Japanese","mBj5_YKg@T","hiệp ước, hiệp ước"
"勝利","しょうり","victory, triumph, win","JLPT_1 JLPT","G@C3MHqMp~","chiến thắng, chiến thắng, chiến thắng"
"上陸","じょうりく","landing, disembarkation","JLPT_1 JLPT","P?*6mTt|Ou","hạ cánh, hạ cánh"
"蒸溜","じょうりゅう","distillation","JLPT_1 JLPT","N0wHhg4iZ}","sự chưng cất"
"奨励","しょうれい","encouragement, promotion","JLPT_1 JLPT","m8|HwkmQWl","khuyến khích, thăng tiến"
"ショー","ショー","show","JLPT_1 JLPT","i~@270zDDg","trình diễn"
"除外","じょがい","exception, exclusion","JLPT_1 JLPT","An-_sCcDl?","ngoại lệ, loại trừ"
"職員","しょくいん","staff member, personnel","JLPT_1 JLPT","c/)%MF,^yx","nhân viên, nhân sự"
"植民地","しょくみんち","colony","JLPT_1 JLPT","pqv+nRs.EA","thuộc địa"
"職務","しょくむ","professional duties","JLPT_1 JLPT","M%7$<MDK;D","nhiệm vụ chuyên môn"
"諸君","しょくん","Gentlemen!, Ladies!","JLPT_1 JLPT","w8&8<Oq8q1","Quý ông!, Quý bà!"
"助言","じょげん","advice, suggestion","JLPT_1 JLPT Intermediate_Japanese Intermediate_Japanese_Ln.11","jgva&{5Yv}","lời khuyên, gợi ý"
"徐行","じょこう","going slowly","JLPT_1 JLPT","1}h4@}[.}","đi chậm"
"所在","しょざい","whereabouts","JLPT_1 JLPT","HYCS:(5sD5","nơi ở"
"所持","しょじ","possession, owning","JLPT_1 JLPT","FFV#Fu]e{M","sở hữu, sở hữu"
"所属","しょぞく","attached to, belong to","JLPT_1 JLPT","kcA;O>C=q2","gắn liền với, thuộc về"
"処置","しょち","treatment","JLPT_1 JLPT","oElimwftu&","sự đối đãi"
"しょっちゅう","しょっちゅう","always, constantly","JLPT_1 JLPT","qt.$TI&_S;","luôn luôn, liên tục"
"所定","しょてい","fixed, prescribed","JLPT_1 JLPT","lE2*Emk;Hc","cố định, quy định"
"所得","しょとく","income","JLPT_1 JLPT","x{~.Tp:rb[","thu nhập"
"処罰","しょばつ","punishment","JLPT_1 JLPT","gNz:>*,MG$","hình phạt"
"初版","しょはん","first edition","JLPT_1 JLPT","fiRSr!;Y&A","ấn bản đầu tiên"
"書評","しょひょう","book review","JLPT_1 JLPT","x:`od~M8;V","đánh giá sách"
"処分","しょぶん","disposal, dealing, punishment","JLPT_1 JLPT","ob921zNQ/x","xử lý, xử lý, trừng phạt"
"庶民","しょみん","masses, common people","JLPT_1 JLPT","m?>)`ISejw","quần chúng, thường dân"
"庶務","しょむ","general affairs","JLPT_1 JLPT","ibnBaKrH9N","công việc chung"
"所有","しょゆう","one's possessions, ownership","JLPT_1 JLPT","M/&X&72l%L","tài sản của một người, quyền sở hữu"
"調べ","しらべ","investigation, inspection","JLPT_1 JLPT","K1M}#OQ[$e","điều tra, thanh tra"
"自立","じりつ","independence, self-reliance","JLPT_1 JLPT","AxK*wI27?U","sự độc lập, sự tự chủ"
"記す","しるす","to note, to write down","JLPT_1 JLPT","IY#:UXg$YC","ghi chú, ghi lại"
"指令","しれい","orders, instructions, directive","JLPT_1 JLPT","f3?Z1%=TF7","mệnh lệnh, hướng dẫn, chỉ thị"
"～心","～しん","mind of ~","JLPT_1 JLPT","jQ&{mv~mg}","tâm trí ~"
"陣","じん","battle formation, camp, encampment","JLPT_1 JLPT","P;NE${7wn9","đội hình chiến đấu, cắm trại, đóng trại"
"進化","しんか","evolution, progress","JLPT_1 JLPT","N0sG+rp=}d","sự tiến hóa, sự tiến bộ"
"人格","じんかく","personality, character","JLPT_1 JLPT","bv:L&X%{w_","tính cách, tính cách"
"審議","しんぎ","deliberation","JLPT_1 JLPT","ljmGvuxGK[","sự cân nhắc"
"新婚","しんこん","newly-wed","JLPT_1 JLPT","kXZM5E]M1a","mới cưới"
"審査","しんさ","judging, inspection, examination","JLPT_1 JLPT","Aov$8-^cUL","xét xử, kiểm tra, kiểm tra"
"人材","じんざい","man of talent","JLPT_1 JLPT","C?4X*:ZTpD","người đàn ông tài năng"
"紳士","しんし","gentleman","JLPT_1 JLPT","x9OmT9u38P","quý ông"
"真実","しんじつ","truth, reality","JLPT_1 JLPT","oVA.}`H~AT","sự thật, thực tế"
"信者","しんじゃ","believer, devotee","JLPT_1 JLPT","xS[kK:ZdWC","tín đồ, người sùng đạo"
"真珠","しんじゅ","pearl","JLPT_1 JLPT","AK4RS}QdNe","ngọc trai"
"進出","しんしゅつ","advancement","JLPT_1 Intermediate_Japanese_Ln.14 JLPT Intermediate_Japanese","K-D|x_JFrP","thăng tiến"
"心情","しんじょう","mentality","JLPT_1 JLPT","PHxCA~>U^}","tâm lý"
"新人","しんじん","new face, newcomer","JLPT_1 JLPT","n<1jM&wYZ&","gương mặt mới, người mới"
"神聖","しんせい","holiness, sacredness, dignity","JLPT_1 JLPT","N+v0O:SZ6<","sự thánh thiện, sự thiêng liêng, phẩm giá"
"親善","しんぜん","friendship","JLPT_1 JLPT","e$!ZsAnYeT","tình bạn"
"真相","しんそう","truth, real situation","JLPT_1 JLPT","IQ@9>LJ,&M","sự thật, tình hình thực tế"
"迅速","じんそく","quick, fast, prompt","JLPT_1 JLPT","g^-!|Cie-4","nhanh chóng, nhanh chóng, nhanh chóng"
"人体","じんたい","human body","JLPT_1 JLPT","wqIT;%IHe9","cơ thể con người"
"新築","しんちく","new building, new construction","JLPT_1 JLPT","Ozg8V>5l.l","tòa nhà mới, công trình mới"
"心中","しんじゅう","double suicide","JLPT_1 JLPT","H1pTQNX=9t","tự tử kép"
"進呈","しんてい","presentation","JLPT_1 JLPT","CZ`K3:aqAR","bài thuyết trình"
"進展","しんてん","progress, development","JLPT_1 JLPT","b(>k}9=qxl","sự tiến bộ, sự phát triển"
"神殿","しんでん","temple, sacred place","JLPT_1 JLPT","y(skY$ucA+","ngôi đền, nơi linh thiêng"
"進度","しんど","progress","JLPT_1 JLPT","yu/)M8)V(L","tiến triển"
"振動","しんどう","oscillation, vibration","JLPT_1 JLPT","sad?lNEJ3g","sự dao động, sự rung động"
"新入生","しんにゅうせい","new student, first-year student, freshman","JLPT_1 Intermediate_Japanese_Ln.5 JLPT Intermediate_Japanese","x)<B[r6{jj","sinh viên mới, sinh viên năm nhất, sinh viên năm nhất"
"信任","しんにん","trust, confidence, credence","JLPT_1 JLPT","hWLnw4y,]t","sự tin cậy, sự tự tin, sự tin cậy"
"神秘","しんぴ","mystery","JLPT_1 JLPT","N,Y7P[tIGQ","bí ẩn"
"辛抱","しんぼう","patience, endurance","JLPT_1 JLPT","uU~=4Y)qMA","kiên nhẫn, chịu đựng"
"人民","じんみん","people, public","JLPT_1 JLPT","nAw=2?(bZX","mọi người, công cộng"
"侵略","しんりゃく","aggression, invasion, raid","JLPT_1 JLPT","hsxv1184OS","sự xâm lược, sự xâm lược, cuộc tấn công"
"診療","しんりょう","medical examination and treatment","JLPT_1 JLPT","x1%iVb>rlb","khám và chữa bệnh"
"粋","すい","essence","JLPT_1 JLPT","zsq|f`1Yv","nước hoa"
"水源","すいげん","source of river","JLPT_1 JLPT","n/^g6e7/@{","nguồn sông"
"推進","すいしん","propulsion, driving force","JLPT_1 JLPT","J08-VaUM,s","lực đẩy, động lực"
"吹奏","すいそう","playing wind instruments","JLPT_1 JLPT","m]6xm=<uJ6","chơi nhạc cụ hơi"
"推測","すいそく","guess, conjecture","JLPT_1 JLPT","zvP)r1F]3S","đoán, phỏng đoán"
"水田","すいでん","(water-filled) paddy field","JLPT_1 JLPT","v5ySQN]{G>","(đầy nước) ruộng lúa"
"推理","すいり","reasoning, inference, mystery or detective genre","JLPT_1 JLPT","jer`Bu/O84","thể loại lý luận, suy luận, bí ẩn hoặc trinh thám"
"数詞","すうし","numeral","JLPT_1 JLPT","p</Ez{aJ5+","chữ số"
"崇拝","すうはい","worship, adoration","JLPT_1 JLPT","Hw_TI!gx2(","sự thờ phượng, sự tôn thờ"
"据え付ける","すえつける","to install, to equip, to mount","JLPT_1 JLPT","BP/>6=lZh5","cài đặt, trang bị, gắn kết"
"据える","すえる","to set, to lay, to place","JLPT_1 JLPT","t!g&pW29AZ","đặt, đặt, đặt"
"すがすがしい","すがすがしい","fresh, refreshing","JLPT_1 JLPT","rK/?@VVUlf","tươi mát, sảng khoái"
"救い","すくい","help, aid, relief","JLPT_1 JLPT","qsOm7CX`b8","giúp đỡ, viện trợ, cứu trợ"
"すくう (みずを～)","すくう (みずを～)","to scoop","JLPT_1 JLPT","iDqa!wq<Tq","để múc"
"健やか","すこやか","vigorous, healthy, sound","JLPT_1 JLPT","hH9J*t,rc_","mạnh mẽ, khỏe mạnh, âm thanh"
"濯ぐ","すすぐ","to rinse, to wash out","JLPT_1 JLPT","E0ffUY?7qt","rửa sạch, rửa sạch"
"進み","すすみ","progress","JLPT_1 JLPT","p1:(iOmlNJ","tiến triển"
"裾","すそ","(trouser) cuff, (skirt) hem, cut edge of a hairdo","JLPT_1 JLPT","xF_(AQj}lF","(quần) còng, (váy) viền, mép cắt của kiểu tóc"
"スタジオ","スタジオ","studio","JLPT_1 JLPT","ic%[^BEKt/","phòng thu"
"スチーム","スチーム","steam","JLPT_1 JLPT","nXB;]AdyMC","hơi nước"
"ストライキ","ストライキ","strike","JLPT_1 JLPT","nf-SMH*rKm","đánh đập"
"スト","スト","(abbr.) strike","JLPT_1 JLPT","oc==H8k2kf","(viết tắt) đình công"
"ストロー","ストロー","straw","JLPT_1 JLPT","A.~AmwkH4Z","rơm"
"ストロボ","ストロボ","stroboscope (literally: strobo, strobe lamp, stroboscopic lamp)","JLPT_1 JLPT","rNiv+g8N.Q","đèn nhấp nháy (nghĩa đen: đèn nhấp nháy, đèn nhấp nháy, đèn hoạt nghiệm)"
"すばしこい","すばしこい","nimble, smart, quick","JLPT_1 JLPT","p[HsSa}_~h","nhanh nhẹn, thông minh, nhanh nhẹn"
"素早い","すばやい","fast, quick","JLPT_1 JLPT","qLzUXrbxxM","nhanh, nhanh"
"ずばり","ずばり","decisively, unreservedly, frankly","JLPT_1 JLPT","zNubn^c5m8","một cách dứt khoát, không dè dặt, thẳng thắn"
"スプリング","スプリング","spring","JLPT_1 JLPT","M&<1|Qyfm^","mùa xuân"
"スペース","スペース","space","JLPT_1 JLPT","mfYc5:,T$)","không gian"
"ずぶぬれ","ずぶぬれ","soaked, dripping wet","JLPT_1 JLPT","O=YLrvca-#","ướt đẫm, ướt sũng"
"スポーツカー","スポーツカー","sports car","JLPT_1 JLPT","ILQ_{U)ioI","xe thể thao"
"澄ます","すます","to clear, to make clear, to listen for","JLPT_1 JLPT","o+[:%ypXAI","làm rõ, làm rõ, lắng nghe"
